"","df$Narrative","df$VessSz","df$VessSpd"
"1","event added 2014. WW Voyager III hit a whale. Vessel drifting/slow-ahead. Animal came up under starboard hull, rocking it slightly. Small laceration forward of dorsal.","VSzUnk","VSpdUnk"
"2","Dolphin VII - Carole Carlson rept. Sport fisher <65ft @ unknown speed) struck whale. Minor injuries, healthy resights.","VSzSmall","VSpdUnk"
"3","Carcass with flukes severed at mid-peduncle. Necropsied on 1/28. Vertebra was sliced cleanly and fractured. Hemorrhaging also found posterior to left eye and dorsal & posterior to left pectoral. Suspect blunt vessel strike to left thoracic followed by acute trauma severing flukes. Propeller diameter estimated to be at least 1m in radius.","VSzUnk","VSpdUnk"
"4","VS RESULTS: Stranded live, severely emaciated w/ signs of premortem EN & VS. Strike severed left flipper; 7 prop lacerations on peduncle & 3 on left flipper. Some of lacerations deep & necrotic w/ others healed. Cyamids filled all wounds & were scattered across back. No stomach contents. COD = starvation due to debilitating propeller and entanglement wounds.","VSzUnk","VSpdUnk"
"5","Towed to Pt. Caven, NJ.  Necropsied on 7/30/01. Laceration to left side of head w/ extensive fractures w/ associated hemorrhage","VSzUnk","VSpdUnk"
"6","Event added 2014. Dependent Calf observed with fresh wound on flank, surrounded by blue paint indicating VS. Paint wore off by that afternoon. Injury is low on flank, therefore typically below waterline. Does not appear deep. Sighted earlier that day and the day prior but that area not visible. Resights indicate healing.","VSzUnk","VSpdUnk"
"7","37ft, 2 yr old, female. Necropsy team leader: Moore. Skull and right mandible badly broken with associated hemorrhaging - consistent with blunt force trauma. Outside of carcass looked fresh but ribs and vertebra floating loose on inside from intense internal heat. Missing hyoids. The baleen was left with the skeleton and decomposed into the individual plates. ","VSzUnk","VSpdUnk"
"8","WW ""Hurricane II"" rept; Animal came up under the keel of the vessel, no prop wounds seen, just a red abrasion 1.5 ft long, by 1 inch wide just anterior to dorsal fin on the dorsal surface. 115' @ 11.7 kts. Observed for 20 minutes, apparent normal behavior. Healthy resights.","VSzLarge","VSpdFast"
"9","Identified by VMSM with assistance from USCG.  Carcass came ashore 2/9/02.  Had 3 deep propeller-like gashes: left anterior dorsal w/ assoc hemorrhage; left posterior dorsal w/ crushed vertebrae & hemorrhage; @ keel w/ crushed vertebrae & hemorrage; robust animal","VSzUnk","VSpdUnk"
"10","Fresh dead juvenile male. Necropsy occurred several days later when whale beached.  Bruising along dorsal surface. Histology was inconclusive. Riverhead said HI - Yes, boat collision. Level A data suggests that ship collision was the COD. Hemorrhaging noted posterior to blowhole, extending to axilla region b/t left and right pectoral flippers. Stomach and intestines full of krill. Biopsy at site of hemorrhage was found to be non-diagnostic due to severe autolysis. Still waiting for necropsy report - may alter determination. COD due to blunt force trauma most parsimonious.","VSzUnk","VSpdUnk"
